step,epoch,batch,budget,loss,raw_gradient_norm,exceeds_threshold,largest_parameter,largest_parameter_gradient
66,2,18,16,5.291550636291504,8.821605324408385,False,core.fusion.gate.weight,4.5739359855651855
67,2,19,32,4.802599906921387,6.200498651345694,False,core.fusion.memory_projection.weight,3.139429807662964
68,2,20,16,5.364550590515137,5.033368700401111,False,core.output_head.weight,2.778081178665161
69,2,21,32,5.287750720977783,11.089762694553697,False,core.fusion.memory_projection.weight,5.752549171447754
70,2,22,16,5.333395481109619,33.95152020407381,False,core.recurrent_cell.weight_hh,18.837072372436523
71,2,23,32,5.619049072265625,28.028045276800032,False,core.fusion.gate.weight,15.000600814819336
72,2,24,16,5.706820011138916,33.9085683100276,False,core.recurrent_cell.weight_hh,17.702529907226562
73,2,25,32,5.266843795776367,5.534863427800144,False,core.output_head.weight,2.788986921310425
74,2,26,16,5.1350555419921875,25.46619469824306,False,core.fusion.memory_projection.weight,13.931588172912598
75,2,27,32,5.346508979797363,26.54643094543406,False,core.fusion.gate.weight,14.810198783874512
76,2,28,16,5.6450042724609375,7.601689394890118,False,core.fusion.memory_projection.weight,4.533003330230713
77,2,29,32,5.560000419616699,18.150434234777673,False,core.fusion.memory_projection.weight,10.195798873901367
78,2,30,16,5.164080619812012,7.294749627423269,False,core.recurrent_cell.weight_hh,4.116367340087891
79,2,31,32,5.36199426651001,14.832505624655854,False,core.fusion.gate.weight,8.236429214477539
80,2,32,16,5.430317401885986,9.51343719948684,False,core.fusion.memory_projection.weight,5.015864849090576
81,2,33,32,5.540939807891846,6.191257258477069,False,core.recurrent_cell.weight_hh,3.2323949337005615
82,2,34,16,5.419059753417969,9.681287018466817,False,core.fusion.gate.weight,5.285473346710205
83,2,35,32,5.493337631225586,5.6228690997572635,False,core.output_head.weight,3.062969207763672
84,2,36,16,5.428682327270508,6.587821636089488,False,core.recurrent_cell.weight_hh,3.5214791297912598
85,2,37,32,5.011902332305908,12.467175654332564,False,core.fusion.memory_projection.weight,6.609905242919922
86,2,38,16,5.433427333831787,5.387349337486425,False,core.output_head.weight,2.790992498397827
87,2,39,32,4.958631992340088,10.502780043490906,False,core.fusion.memory_projection.weight,5.3627800941467285
88,2,40,16,5.340887546539307,8.588456599989954,False,core.recurrent_cell.weight_hh,4.59234619140625
89,2,41,32,5.180360317230225,7.13773519577785,False,core.recurrent_cell.weight_hh,3.7306196689605713
90,2,42,16,5.261056423187256,7.66455236737172,False,core.fusion.memory_projection.weight,3.9112889766693115
91,2,43,32,5.441027641296387,8.556182324686352,False,core.fusion.gate.weight,4.33003568649292
92,2,44,16,5.20086145401001,6.776407452537201,False,core.fusion.memory_projection.weight,3.6988561153411865
93,2,45,32,4.933971881866455,10.79724240733681,False,core.fusion.memory_projection.weight,5.66586971282959
94,2,46,16,4.962520122528076,16.479150793971105,False,core.fusion.gate.weight,9.21243953704834
95,2,47,32,5.031415939331055,7.416500017490944,False,core.recurrent_cell.weight_hh,3.9587855339050293
96,2,48,16,5.440774917602539,5.582921379612277,False,core.output_head.weight,2.8002898693084717
97,3,1,16,5.1848554611206055,8.742202908740847,False,core.fusion.memory_projection.weight,5.21769380569458
98,3,2,32,5.766075134277344,6.3771064995270965,False,core.recurrent_cell.weight_hh,3.074289560317993
99,3,3,16,5.130960941314697,12.99302840255112,False,core.fusion.memory_projection.weight,7.524657249450684
100,3,4,32,5.253023147583008,7.551378903134248,False,core.fusion.memory_projection.weight,4.2056097984313965
101,3,5,16,5.4365010261535645,6.820247327402578,False,core.fusion.memory_projection.weight,3.652031898498535
102,3,6,32,5.267878532409668,18.420234346322896,False,core.fusion.gate.weight,10.219820976257324
103,3,7,16,5.010196208953857,4.233821118139246,False,core.output_head.weight,2.7379610538482666
104,3,8,32,5.006346702575684,6.170558937041804,False,core.fusion.memory_projection.weight,3.5886683464050293
105,3,9,16,5.2150959968566895,7.09643376889369,False,core.fusion.memory_projection.weight,3.982027530670166
106,3,10,32,4.931005477905273,11.951807599040581,False,core.fusion.memory_projection.weight,6.160205364227295
107,3,11,16,5.420173645019531,9.660566981491696,False,core.fusion.memory_projection.weight,5.802833080291748
108,3,12,32,5.327505588531494,12.232666864863868,False,core.recurrent_cell.weight_hh,7.004863739013672
109,3,13,16,5.180525779724121,5.3698014787715795,False,core.output_head.weight,2.761644124984741
110,3,14,32,5.0958733558654785,4.840396223371033,False,core.output_head.weight,2.75311279296875
111,3,15,16,5.164894104003906,5.014748293419045,False,core.output_head.weight,2.7910943031311035
112,3,16,32,5.0984883308410645,5.690208806826607,False,core.fusion.memory_projection.weight,2.80053448677063
113,3,17,16,5.131978511810303,4.828178522386216,False,core.output_head.weight,2.7819573879241943
114,3,18,32,5.392214775085449,9.542670053248838,False,core.fusion.memory_projection.weight,5.436947345733643
115,3,19,16,5.100978851318359,5.169706155332623,False,core.output_head.weight,2.7742061614990234
116,3,20,32,4.922909259796143,8.859999534141956,False,core.fusion.memory_projection.weight,4.6013689041137695
117,3,21,16,5.372376441955566,7.826149522382855,False,core.fusion.memory_projection.weight,4.748205184936523
118,3,22,32,5.084454536437988,9.537858521112797,False,core.fusion.memory_projection.weight,4.853311538696289
119,3,23,16,5.053320407867432,5.259550310220037,False,core.output_head.weight,3.037985324859619
120,3,24,32,4.9794816970825195,23.274432412254594,False,core.fusion.memory_projection.weight,13.006723403930664
121,3,25,16,5.197324752807617,5.722307594300307,False,core.output_head.weight,3.032614231109619
122,3,26,32,5.565478324890137,5.57752922126761,False,core.output_head.weight,2.799018144607544
123,3,27,16,5.095798492431641,6.975328976158898,False,core.fusion.memory_projection.weight,3.510030508041382
124,3,28,32,5.207273006439209,12.774550967264522,False,core.fusion.memory_projection.weight,7.71310567855835
125,3,29,16,5.460397243499756,6.064199360030259,False,core.fusion.memory_projection.weight,3.1517112255096436
126,3,30,32,5.169053554534912,7.555820995548886,False,core.recurrent_cell.weight_hh,3.936521053314209
127,3,31,16,5.053744316101074,4.707562068479426,False,core.output_head.weight,2.760991096496582
128,3,32,32,5.051626205444336,7.105236065300475,False,core.recurrent_cell.weight_hh,3.4384169578552246
129,3,33,16,5.322386741638184,4.512988947138932,False,core.output_head.weight,2.7886054515838623
130,3,34,32,5.148224353790283,14.70274800087447,False,core.fusion.memory_projection.weight,8.379156112670898
131,3,35,16,5.340782642364502,5.168549509034798,False,core.output_head.weight,2.7813124656677246
132,3,36,32,5.254392623901367,17.012848601430733,False,core.fusion.memory_projection.weight,9.599503517150879
133,3,37,16,5.1454010009765625,11.675180319449304,False,core.fusion.gate.weight,6.053408145904541
134,3,38,32,5.090627670288086,6.755796178623775,False,core.fusion.memory_projection.weight,3.8783864974975586
135,3,39,16,5.281294345855713,17.582243643812184,False,core.fusion.gate.weight,9.575714111328125
136,3,40,32,5.260615348815918,8.585478480040972,False,core.recurrent_cell.weight_hh,4.54246711730957
137,3,41,16,5.504741191864014,25.003873760868384,False,core.fusion.memory_projection.weight,13.319169998168945
138,3,42,32,5.0103960037231445,14.633392591508796,False,core.fusion.memory_projection.weight,7.812047481536865
139,3,43,16,5.178974151611328,9.280686880233398,False,core.fusion.memory_projection.weight,5.449983596801758
140,3,44,32,5.4472246170043945,16.381827725751304,False,core.recurrent_cell.weight_hh,8.52743911743164
141,3,45,16,5.2285075187683105,4.5645483998168315,False,core.output_head.weight,2.775689125061035
142,3,46,32,5.571939468383789,41.29827772312865,False,core.fusion.memory_projection.weight,24.636995315551758
143,3,47,16,5.049794673919678,13.967007639779832,False,core.fusion.gate.weight,7.284608364105225
144,3,48,32,5.068216800689697,15.030466171860711,False,core.fusion.memory_projection.weight,7.979282379150391
145,4,1,32,5.024241924285889,5.584958651033153,False,core.output_head.weight,2.740858793258667
146,4,2,16,5.013993740081787,9.642836079148294,False,core.recurrent_cell.weight_hh,5.042132377624512
147,4,3,32,5.03175687789917,5.2515895489248265,False,core.output_head.weight,2.7392256259918213
148,4,4,16,4.861425399780273,15.828407128670916,False,core.fusion.gate.weight,8.834627151489258
149,4,5,32,5.212625026702881,9.109012932832702,False,core.recurrent_cell.weight_hh,4.902725696563721
150,4,6,16,5.255021572113037,5.3939374800393045,False,core.output_head.weight,2.782987594604492
151,4,7,32,4.992771148681641,5.899417469187099,False,core.recurrent_cell.weight_hh,2.947465181350708
