schema_version,experiment_name,task,model,model_source,sequence_length,memory_budget,seed,config_path,config_sha256,checkpoint_path,checkpoint_resume_pass,stability_pass,mean_loss,token_accuracy,exact_match_accuracy,relevant_state_retention_rate,irrelevant_state_retention_rate,memory_precision,memory_recall,average_retention_duration,successful_long_range_retrievals,cache_turnover,eviction_errors,write_frequency,recent_state_overlap,expected_random_retention,max_memory_size,budget_pass,wall_seconds,cpu_user_seconds,cpu_system_seconds,peak_rss_mb,tokens_per_second,parameter_count,resource_measurement_pass,train_first_loss,train_final_loss,maximum_gradient_norm,budget
1.0,section15_pilot,selective_copy,gru_uniform_cache,pilot_uniform_checkpoint_cache,1024,16,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/selective_copy/gru_uniform_cache/last.pt,True,True,6.288159449895223,0.0,0.0,0.0,0.015748031496062992,0.0,0.0,511.875,0,0,48,0.015625,0.0625,0.015625,16,True,2.7282892299990635,2.719999999999999,0.02999999999999936,747.984375,18015.685235841684,182976,True,5.260619580745697,4.622275561094284,0.0,16
1.0,section15_pilot,selective_copy,gru_uniform_cache,pilot_uniform_checkpoint_cache,1024,32,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/selective_copy/gru_uniform_cache/last.pt,True,True,6.162702004114787,0.0026041666666666665,0.0,0.013020833333333334,0.031393536745406826,0.0032552083333333335,0.013020833333333334,511.5,0,0,47,0.03125,0.03125,0.03125,32,True,2.841223939001793,2.7699999999999996,0.020000000000000462,747.984375,17299.586746854093,182976,True,5.260619580745697,4.622275561094284,0.0,32
1.0,section15_pilot,selective_copy,gru_reservoir_cache,pilot_reservoir_cache,256,16,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/selective_copy/gru_reservoir_cache/last.pt,True,True,6.210446675618489,0.0026041666666666665,0.0,0.1328125,0.06023185483870968,0.06640625,0.1328125,151.765625,0,2076,42,0.2314453125,0.046875,0.0625,16,True,1.5108830870012753,1.4800000000000004,0.019999999999999574,747.984375,8132.99196060802,182976,True,5.265008747577667,4.629842966794968,0.0,16
1.0,section15_pilot,selective_copy,gru_reservoir_cache,pilot_reservoir_cache,256,32,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/selective_copy/gru_reservoir_cache/last.pt,True,True,6.171387592951457,0.005208333333333333,0.0,0.2578125,0.12071572580645162,0.064453125,0.2578125,146.25,0,3036,36,0.3720703125,0.125,0.125,32,True,1.9549291980001726,1.9199999999999982,0.040000000000000036,747.984375,6285.649635071292,182976,True,5.265008747577667,4.629842966794968,0.0,32
1.0,section15_pilot,selective_copy,gru_reservoir_cache,pilot_reservoir_cache,512,16,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/selective_copy/gru_reservoir_cache/last.pt,True,True,6.343123435974121,0.0078125,0.0,0.0859375,0.030381944444444448,0.04296875,0.0859375,281.3515625,0,2694,44,0.140869140625,0.03125,0.03125,16,True,2.772874561000208,2.7600000000000016,0.02999999999999936,747.984375,8863.004603834352,182976,True,5.265008747577667,4.629842966794968,0.0,16
1.0,section15_pilot,selective_copy,gru_reservoir_cache,pilot_reservoir_cache,512,32,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/selective_copy/gru_reservoir_cache/last.pt,True,True,6.128079017003377,0.0,0.0,0.140625,0.06125992063492064,0.03515625,0.140625,284.41015625,0,4176,41,0.232421875,0.0546875,0.0625,32,True,4.00134788199648,3.960000000000001,0.08999999999999986,747.984375,6141.930350664176,182976,True,5.265008747577667,4.629842966794968,0.0,32
1.0,section15_pilot,selective_copy,gru_reservoir_cache,pilot_reservoir_cache,1024,16,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/selective_copy/gru_reservoir_cache/last.pt,True,True,6.332999229431152,0.0026041666666666665,0.0,0.049479166666666664,0.015358431758530184,0.024739583333333332,0.049479166666666664,572.40625,0,3252,46,0.081787109375,0.015625,0.015625,16,True,5.237456451999606,5.170000000000002,0.14999999999999947,747.984375,9384.708102199931,182976,True,5.265008747577667,4.629842966794968,0.0,16
1.0,section15_pilot,selective_copy,gru_reservoir_cache,pilot_reservoir_cache,1024,32,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/selective_copy/gru_reservoir_cache/last.pt,True,True,6.239567915598552,0.005208333333333333,0.0,0.09635416666666667,0.0307373687664042,0.024088541666666668,0.09635416666666667,563.3125,0,5286,43,0.1387939453125,0.03125,0.03125,32,True,12.223657303002256,12.119999999999997,0.4300000000000006,747.984375,4021.055137722796,182976,True,5.265008747577667,4.629842966794968,0.0,32
1.0,section15_pilot,selective_copy,budgetmem_r,src/budgetmem/models/budgetmem_r.py,256,16,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/selective_copy/budgetmem_r/last.pt,True,True,5.881803830464681,0.005208333333333333,0.0,0.171875,0.05897177419354838,0.0859375,0.171875,180.93359375,0,1595,40,0.19230143229166666,0.03515625,0.0625,16,True,6.001415309998265,5.769999999999996,0.16000000000000014,761.3359375,2047.5170214479879,224283,True,5.502837091684341,4.748610347509384,0.0,16
1.0,section15_pilot,selective_copy,budgetmem_r,src/budgetmem/models/budgetmem_r.py,256,32,2026,configs/experiments/pilot.yaml,2d0d68dfd73270c7bcb12f39067e5fd2ee9af07dd6d6f74784e4f85e83c4c24a,outputs/pilot/checkpoints/selective_copy/budgetmem_r/last.pt,True,True,5.970081488291423,0.005208333333333333,0.0,0.4427083333333333,0.11206317204301075,0.11428333511246819,0.4427083333333333,189.1343085106383,0,734,27,0.18212890625,0.03887862809233777,0.125,32,True,5.476537071001076,5.350000000000001,0.16999999999999993,761.40625,2243.753642254417,224283,True,5.502837091684341,4.748610347509384,0.0,32
