schema_version,experiment_name,task,model,model_source,sequence_length,memory_budget,seed,config_path,config_sha256,checkpoint_path,checkpoint_resume_pass,stability_pass,mean_loss,token_accuracy,exact_match_accuracy,relevant_state_retention_rate,irrelevant_state_retention_rate,memory_precision,memory_recall,average_retention_duration,successful_long_range_retrievals,cache_turnover,eviction_errors,write_frequency,recent_state_overlap,expected_random_retention,max_memory_size,budget_pass,wall_seconds,cpu_user_seconds,cpu_system_seconds,peak_rss_mb,tokens_per_second,parameter_count,resource_measurement_pass,train_first_loss,train_final_loss,maximum_gradient_norm
1.0,section15_pilot_tuned,selective_copy,gru_uniform_cache,pilot_uniform_checkpoint_cache,1024,16,2026,configs/experiments/pilot_tuned.yaml,f912b31b7771f9640bc433b394e7ae776d80427ee64cc8a4d415670b58c1a66c,outputs/pilot_tuned/checkpoints/selective_copy/gru_uniform_cache/last.pt,True,True,5.5792949597040815,0.0026041666666666665,0.0,0.0,0.015748031496062992,0.0,0.0,511.875,0,0,96,0.015625,0.0625,0.015625,16,True,6.137586845000442,6.109999999999673,0.09999999999999432,1044.890625,16016.718375248167,182976,True,5.25777068734169,4.943180173635483,0.814972996711731
1.0,section15_pilot_tuned,selective_copy,gru_uniform_cache,pilot_uniform_checkpoint_cache,1024,32,2026,configs/experiments/pilot_tuned.yaml,f912b31b7771f9640bc433b394e7ae776d80427ee64cc8a4d415670b58c1a66c,outputs/pilot_tuned/checkpoints/selective_copy/gru_uniform_cache/last.pt,True,True,5.656323512395223,0.0078125,0.0,0.009114583333333334,0.03142429461942257,0.0022786458333333335,0.009114583333333334,511.5,0,0,95,0.03125,0.03125,0.03125,32,True,6.280833887999506,6.259999999999309,0.10000000000000853,1044.890625,15651.42491474338,182976,True,5.25777068734169,4.943180173635483,0.814972996711731
1.0,section15_pilot_tuned,selective_copy,gru_reservoir_cache,pilot_reservoir_cache,256,16,2026,configs/experiments/pilot_tuned.yaml,f912b31b7771f9640bc433b394e7ae776d80427ee64cc8a4d415670b58c1a66c,outputs/pilot_tuned/checkpoints/selective_copy/gru_reservoir_cache/last.pt,True,True,5.5296305020650225,0.006510416666666667,0.0,0.1484375,0.05972782258064516,0.07421875,0.1484375,151.765625,0,4152,82,0.2314453125,0.046875,0.0625,16,True,3.348125830000754,3.300000000000182,0.09000000000000341,1044.890625,7340.2259197631365,182976,True,5.262793034315109,4.950853089491527,0.8334928154945374
1.0,section15_pilot_tuned,selective_copy,gru_reservoir_cache,pilot_reservoir_cache,256,32,2026,configs/experiments/pilot_tuned.yaml,f912b31b7771f9640bc433b394e7ae776d80427ee64cc8a4d415670b58c1a66c,outputs/pilot_tuned/checkpoints/selective_copy/gru_reservoir_cache/last.pt,True,True,5.585187673568726,0.0078125,0.0,0.2552083333333333,0.1207997311827957,0.06380208333333333,0.2552083333333333,146.25,0,6072,72,0.3720703125,0.125,0.125,32,True,4.235474098999475,4.210000000000036,0.06999999999999318,1044.890625,5802.420089360354,182976,True,5.262793034315109,4.950853089491527,0.8334928154945374
1.0,section15_pilot_tuned,selective_copy,gru_reservoir_cache,pilot_reservoir_cache,512,16,2026,configs/experiments/pilot_tuned.yaml,f912b31b7771f9640bc433b394e7ae776d80427ee64cc8a4d415670b58c1a66c,outputs/pilot_tuned/checkpoints/selective_copy/gru_reservoir_cache/last.pt,True,True,5.572424014409383,0.01171875,0.0,0.08463541666666667,0.030402612433862438,0.042317708333333336,0.08463541666666667,281.3515625,0,5388,88,0.140869140625,0.03125,0.03125,16,True,6.0813004880001245,6.039999999999964,0.10999999999999943,1044.890625,8082.481715381237,182976,True,5.262793034315109,4.950853089491527,0.8334928154945374
1.0,section15_pilot_tuned,selective_copy,gru_reservoir_cache,pilot_reservoir_cache,512,32,2026,configs/experiments/pilot_tuned.yaml,f912b31b7771f9640bc433b394e7ae776d80427ee64cc8a4d415670b58c1a66c,outputs/pilot_tuned/checkpoints/selective_copy/gru_reservoir_cache/last.pt,True,True,5.511960665384929,0.006510416666666667,0.0,0.1484375,0.0611359126984127,0.037109375,0.1484375,284.41015625,0,8352,82,0.232421875,0.0546875,0.0625,32,True,8.118729540999993,8.010000000000218,0.18999999999999773,1044.890625,6054.149205461264,182976,True,5.262793034315109,4.950853089491527,0.8334928154945374
1.0,section15_pilot_tuned,selective_copy,gru_reservoir_cache,pilot_reservoir_cache,1024,16,2026,configs/experiments/pilot_tuned.yaml,f912b31b7771f9640bc433b394e7ae776d80427ee64cc8a4d415670b58c1a66c,outputs/pilot_tuned/checkpoints/selective_copy/gru_reservoir_cache/last.pt,True,True,5.604919354120891,0.006510416666666667,0.0,0.049479166666666664,0.015358431758530184,0.024739583333333332,0.049479166666666664,572.40625,0,6504,91,0.081787109375,0.015625,0.015625,16,True,11.644287299000098,11.549999999999272,0.21999999999999886,1044.890625,8442.251335420196,182976,True,5.262793034315109,4.950853089491527,0.8334928154945374
1.0,section15_pilot_tuned,selective_copy,gru_reservoir_cache,pilot_reservoir_cache,1024,32,2026,configs/experiments/pilot_tuned.yaml,f912b31b7771f9640bc433b394e7ae776d80427ee64cc8a4d415670b58c1a66c,outputs/pilot_tuned/checkpoints/selective_copy/gru_reservoir_cache/last.pt,True,True,5.554762125015259,0.00390625,0.0,0.10807291666666667,0.030645095144356954,0.027018229166666668,0.10807291666666667,563.3125,0,10572,86,0.1387939453125,0.03125,0.03125,32,True,15.108788818999528,15.010000000000218,0.27000000000001023,1044.890625,6506.411677180983,182976,True,5.262793034315109,4.950853089491527,0.8334928154945374
1.0,section15_pilot_tuned,selective_copy,budgetmem_r,src/budgetmem/models/budgetmem_r.py,256,16,2026,configs/experiments/pilot_tuned.yaml,f912b31b7771f9640bc433b394e7ae776d80427ee64cc8a4d415670b58c1a66c,outputs/pilot_tuned/checkpoints/selective_copy/budgetmem_r/last.pt,True,False,5.465896884600322,0.00390625,0.0,0.46484375,0.04952116935483871,0.232421875,0.46484375,238.64388020833334,0,1947,51,0.1417236328125,0.014322916666666666,0.0625,16,True,12.630756504000601,12.400000000000546,0.39000000000000057,1044.890625,1945.7266864590354,224283,True,5.4044070939222975,4.897789080937703,215.0259552001953
1.0,section15_pilot_tuned,selective_copy,budgetmem_r,src/budgetmem/models/budgetmem_r.py,256,32,2026,configs/experiments/pilot_tuned.yaml,f912b31b7771f9640bc433b394e7ae776d80427ee64cc8a4d415670b58c1a66c,outputs/pilot_tuned/checkpoints/selective_copy/budgetmem_r/last.pt,True,False,5.510670264561971,0.006510416666666667,0.0,0.8828125,0.10055443548387095,0.220703125,0.8828125,230.64388020833334,0,1509,11,0.1864013671875,0.009440104166666666,0.125,32,True,12.263763275000201,12.009999999999309,0.4099999999999966,1044.890625,2003.9525754788835,224283,True,5.4044070939222975,4.897789080937703,215.0259552001953
