csv_row,task,model,sequence_length,seed,old_budget,new_budget,status,evidence
27,associative_recall,gru,256,2026,,32,RECOVERED,column:memory_budget
28,associative_recall,gru,512,2026,,16,RECOVERED,column:memory_budget
29,associative_recall,gru,512,2026,,32,RECOVERED,column:memory_budget
30,associative_recall,gru,1024,2026,,16,RECOVERED,column:memory_budget
31,associative_recall,gru,1024,2026,,32,RECOVERED,column:memory_budget
32,associative_recall,gru_uniform_cache,256,2026,,16,RECOVERED,column:memory_budget
33,associative_recall,gru_uniform_cache,256,2026,,32,RECOVERED,column:memory_budget
34,associative_recall,gru_uniform_cache,512,2026,,16,RECOVERED,column:memory_budget
35,associative_recall,gru_uniform_cache,512,2026,,32,RECOVERED,column:memory_budget
36,associative_recall,gru_uniform_cache,1024,2026,,16,RECOVERED,column:memory_budget
37,associative_recall,gru_uniform_cache,1024,2026,,32,RECOVERED,column:memory_budget
38,associative_recall,gru_reservoir_cache,256,2026,,16,RECOVERED,column:memory_budget
39,associative_recall,gru_reservoir_cache,256,2026,,32,RECOVERED,column:memory_budget
40,associative_recall,gru_reservoir_cache,512,2026,,16,RECOVERED,column:memory_budget
41,associative_recall,gru_reservoir_cache,512,2026,,32,RECOVERED,column:memory_budget
42,associative_recall,gru_reservoir_cache,1024,2026,,16,RECOVERED,column:memory_budget
43,associative_recall,gru_reservoir_cache,1024,2026,,32,RECOVERED,column:memory_budget
44,associative_recall,budgetmem_r,256,2026,,16,RECOVERED,column:memory_budget
45,associative_recall,budgetmem_r,256,2026,,32,RECOVERED,column:memory_budget
46,associative_recall,budgetmem_r,512,2026,,16,RECOVERED,column:memory_budget
47,associative_recall,budgetmem_r,512,2026,,32,RECOVERED,column:memory_budget
48,associative_recall,budgetmem_r,1024,2026,,16,RECOVERED,column:memory_budget
49,associative_recall,budgetmem_r,1024,2026,,32,RECOVERED,column:memory_budget
50,distractor_heavy_retrieval,gru,256,2026,,16,RECOVERED,column:memory_budget
51,distractor_heavy_retrieval,gru,256,2026,,32,RECOVERED,column:memory_budget
52,distractor_heavy_retrieval,gru,512,2026,,16,RECOVERED,column:memory_budget
53,distractor_heavy_retrieval,gru,512,2026,,32,RECOVERED,column:memory_budget
54,distractor_heavy_retrieval,gru,1024,2026,,16,RECOVERED,column:memory_budget
55,distractor_heavy_retrieval,gru,1024,2026,,32,RECOVERED,column:memory_budget
56,distractor_heavy_retrieval,gru_uniform_cache,256,2026,,16,RECOVERED,column:memory_budget
57,distractor_heavy_retrieval,gru_uniform_cache,256,2026,,32,RECOVERED,column:memory_budget
58,distractor_heavy_retrieval,gru_uniform_cache,512,2026,,16,RECOVERED,column:memory_budget
59,distractor_heavy_retrieval,gru_uniform_cache,512,2026,,32,RECOVERED,column:memory_budget
60,distractor_heavy_retrieval,gru_uniform_cache,1024,2026,,16,RECOVERED,column:memory_budget
61,distractor_heavy_retrieval,gru_uniform_cache,1024,2026,,32,RECOVERED,column:memory_budget
62,distractor_heavy_retrieval,gru_reservoir_cache,256,2026,,16,RECOVERED,column:memory_budget
63,distractor_heavy_retrieval,gru_reservoir_cache,256,2026,,32,RECOVERED,column:memory_budget
64,distractor_heavy_retrieval,gru_reservoir_cache,512,2026,,16,RECOVERED,column:memory_budget
65,distractor_heavy_retrieval,gru_reservoir_cache,512,2026,,32,RECOVERED,column:memory_budget
66,distractor_heavy_retrieval,gru_reservoir_cache,1024,2026,,16,RECOVERED,column:memory_budget
67,distractor_heavy_retrieval,gru_reservoir_cache,1024,2026,,32,RECOVERED,column:memory_budget
68,distractor_heavy_retrieval,budgetmem_r,256,2026,,16,RECOVERED,column:memory_budget
69,distractor_heavy_retrieval,budgetmem_r,256,2026,,32,RECOVERED,column:memory_budget
70,distractor_heavy_retrieval,budgetmem_r,512,2026,,16,RECOVERED,column:memory_budget
71,distractor_heavy_retrieval,budgetmem_r,512,2026,,32,RECOVERED,column:memory_budget
72,distractor_heavy_retrieval,budgetmem_r,1024,2026,,16,RECOVERED,column:memory_budget
73,distractor_heavy_retrieval,budgetmem_r,1024,2026,,32,RECOVERED,column:memory_budget
