csv_row,task,model,sequence_length,seed,old_budget,new_budget,status,evidence
2,selective_copy,gru,256,2026,,16,RECOVERED,column:memory_budget
3,selective_copy,gru,256,2026,,32,RECOVERED,column:memory_budget
4,selective_copy,gru,512,2026,,16,RECOVERED,column:memory_budget
5,selective_copy,gru,512,2026,,32,RECOVERED,column:memory_budget
6,selective_copy,gru,1024,2026,,16,RECOVERED,column:memory_budget
7,selective_copy,gru,1024,2026,,32,RECOVERED,column:memory_budget
8,selective_copy,gru_uniform_cache,256,2026,,16,RECOVERED,column:memory_budget
9,selective_copy,gru_uniform_cache,256,2026,,32,RECOVERED,column:memory_budget
10,selective_copy,gru_uniform_cache,512,2026,,16,RECOVERED,column:memory_budget
11,selective_copy,gru_uniform_cache,512,2026,,32,RECOVERED,column:memory_budget
12,selective_copy,gru_uniform_cache,1024,2026,,16,RECOVERED,column:memory_budget
13,selective_copy,gru_uniform_cache,1024,2026,,32,RECOVERED,column:memory_budget
14,selective_copy,gru_reservoir_cache,256,2026,,16,RECOVERED,column:memory_budget
15,selective_copy,gru_reservoir_cache,256,2026,,32,RECOVERED,column:memory_budget
16,selective_copy,gru_reservoir_cache,512,2026,,16,RECOVERED,column:memory_budget
17,selective_copy,gru_reservoir_cache,512,2026,,32,RECOVERED,column:memory_budget
18,selective_copy,gru_reservoir_cache,1024,2026,,16,RECOVERED,column:memory_budget
19,selective_copy,gru_reservoir_cache,1024,2026,,32,RECOVERED,column:memory_budget
20,selective_copy,budgetmem_r,256,2026,,16,RECOVERED,column:memory_budget
21,selective_copy,budgetmem_r,256,2026,,32,RECOVERED,column:memory_budget
22,selective_copy,budgetmem_r,512,2026,,16,RECOVERED,column:memory_budget
23,selective_copy,budgetmem_r,512,2026,,32,RECOVERED,column:memory_budget
24,selective_copy,budgetmem_r,1024,2026,,16,RECOVERED,column:memory_budget
25,selective_copy,budgetmem_r,1024,2026,,32,RECOVERED,column:memory_budget
26,associative_recall,gru,256,2026,,16,RECOVERED,column:memory_budget
