schema_version,experiment_name,task,model,model_source,sequence_length,memory_budget,seed,config_path,config_sha256,checkpoint_path,checkpoint_resume_pass,stability_pass,mean_loss,token_accuracy,exact_match_accuracy,relevant_state_retention_rate,irrelevant_state_retention_rate,memory_precision,memory_recall,average_retention_duration,successful_long_range_retrievals,cache_turnover,eviction_errors,write_frequency,recent_state_overlap,expected_random_retention,max_memory_size,budget_pass,wall_seconds,cpu_user_seconds,cpu_system_seconds,peak_rss_mb,tokens_per_second,parameter_count,resource_measurement_pass,train_first_loss,train_final_loss,maximum_gradient_norm,candidate
1.0,section15_tuning_capacity_10e,selective_copy,budgetmem_r,src/budgetmem/models/budgetmem_r.py,1024,16,2026,configs/experiments/pilot_tuning_candidates/capacity_10e.yaml,1a03dba7ecaa73c9c6b773b8b8c45cf565791e9d25b223fce20193240c2c0402,outputs/pilot_performance_tuning/capacity_10e/checkpoints/selective_copy/budgetmem_r/last.pt,True,False,5.61126430829366,0.0026041666666666665,0.0,0.4713541666666667,0.012036581364829399,0.23567708333333334,0.4713541666666667,1008.1100260416666,0,199,51,0.017649332682291668,0.0,0.015625,16,True,53.22058415900028,52.159999999999854,1.7299999999999898,1202.05078125,1847.10486653641,384379,True,5.477992047866185,4.754697422186534,191.80160522460938,capacity_10e
1.0,section15_tuning_capacity_10e,selective_copy,budgetmem_r,src/budgetmem/models/budgetmem_r.py,1024,32,2026,configs/experiments/pilot_tuning_candidates/capacity_10e.yaml,1a03dba7ecaa73c9c6b773b8b8c45cf565791e9d25b223fce20193240c2c0402,outputs/pilot_performance_tuning/capacity_10e/checkpoints/selective_copy/budgetmem_r/last.pt,True,False,5.715246121088664,0.010416666666666666,0.0,0.9713541666666666,0.023847604986876644,0.24283854166666666,0.9713541666666666,1001.2457682291666,0,100,3,0.032267252604166664,0.0,0.03125,32,True,53.049981860000116,52.20999999999913,1.490000000000009,1202.05078125,1853.0449314653129,384379,True,5.477992047866185,4.754697422186534,191.80160522460938,capacity_10e
1.0,section15_tuning_capacity_10e,associative_recall,budgetmem_r,src/budgetmem/models/budgetmem_r.py,1024,16,2026,configs/experiments/pilot_tuning_candidates/capacity_10e.yaml,1a03dba7ecaa73c9c6b773b8b8c45cf565791e9d25b223fce20193240c2c0402,outputs/pilot_performance_tuning/capacity_10e/checkpoints/associative_recall/budgetmem_r/last.pt,True,False,5.611894845962524,0.0,0.0,0.1875,0.015456989247311823,0.01171875,0.1875,836.1712239583334,0,37154,78,0.3935750325520833,0.061197916666666664,0.015625,16,True,53.23379440500139,52.29000000000087,1.5900000000000034,1228.3828125,1846.6464977511391,384379,True,5.453965922196706,4.608570237954457,4953.17236328125,capacity_10e
1.0,section15_tuning_capacity_10e,associative_recall,budgetmem_r,src/budgetmem/models/budgetmem_r.py,1024,32,2026,configs/experiments/pilot_tuning_candidates/capacity_10e.yaml,1a03dba7ecaa73c9c6b773b8b8c45cf565791e9d25b223fce20193240c2c0402,outputs/pilot_performance_tuning/capacity_10e/checkpoints/associative_recall/budgetmem_r/last.pt,True,False,5.540500998497009,0.010416666666666666,0.010416666666666666,0.28125,0.03100562072336265,0.0087890625,0.28125,708.7307942708334,1,20412,69,0.2388916015625,0.045572916666666664,0.03125,32,True,53.05346557499797,52.100000000000364,1.5300000000000011,1228.3828125,1852.9232526956134,384379,True,5.453965922196706,4.608570237954457,4953.17236328125,capacity_10e
1.0,section15_tuning_capacity_10e,distractor_heavy_retrieval,budgetmem_r,src/budgetmem/models/budgetmem_r.py,1024,16,2026,configs/experiments/pilot_tuning_candidates/capacity_10e.yaml,1a03dba7ecaa73c9c6b773b8b8c45cf565791e9d25b223fce20193240c2c0402,outputs/pilot_performance_tuning/capacity_10e/checkpoints/distractor_heavy_retrieval/budgetmem_r/last.pt,True,False,5.422670245170593,0.010416666666666666,0.0,0.01736111111111111,0.015619898792033958,0.0032552083333333335,0.01736111111111111,1014.1614583333334,0,14,94,0.015767415364583332,0.0,0.015625,16,True,58.461512563000724,57.67000000000007,1.6699999999999875,1232.8359375,1681.5165343877006,384379,True,5.465322424968083,3.952106788754463,603.6808471679688,capacity_10e
1.0,section15_tuning_capacity_10e,distractor_heavy_retrieval,budgetmem_r,src/budgetmem/models/budgetmem_r.py,1024,32,2026,configs/experiments/pilot_tuning_candidates/capacity_10e.yaml,1a03dba7ecaa73c9c6b773b8b8c45cf565791e9d25b223fce20193240c2c0402,outputs/pilot_performance_tuning/capacity_10e/checkpoints/distractor_heavy_retrieval/budgetmem_r/last.pt,True,False,5.548514525095622,0.0,0.0,0.03819444444444444,0.03122959516813582,0.0035807291666666665,0.03819444444444444,1005.0406901041666,0,21,92,0.031463623046875,0.0,0.03125,32,True,59.25645524799984,58.280000000000655,1.7600000000000193,1232.8359375,1658.9584980839397,384379,True,5.465322424968083,3.952106788754463,603.6808471679688,capacity_10e
