schema_version,experiment_name,task,model,model_source,sequence_length,memory_budget,seed,config_path,config_sha256,checkpoint_path,checkpoint_resume_pass,stability_pass,mean_loss,token_accuracy,exact_match_accuracy,relevant_state_retention_rate,irrelevant_state_retention_rate,memory_precision,memory_recall,average_retention_duration,successful_long_range_retrievals,cache_turnover,eviction_errors,write_frequency,recent_state_overlap,expected_random_retention,max_memory_size,budget_pass,wall_seconds,cpu_user_seconds,cpu_system_seconds,peak_rss_mb,tokens_per_second,parameter_count,resource_measurement_pass,train_first_loss,train_final_loss,maximum_gradient_norm
1.0,section15_pilot_tuned,selective_copy,gru,pilot_standard_gru,256,16,2026,configs/experiments/targeted_associative_recall/assoc_repair_40e_focused.yaml,30331f2fea818fe93bc9a9653e084e7892301cb9716ded5f3cde525532c6d080,outputs/pilot_tuned/checkpoints/selective_copy/gru/last.pt,True,True,5.29139518737793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0625,0,True,0.03355266299331561,0.029999999999997584,0.0,894.671875,61038.37422406694,384000,True,5.267174482345581,5.267174482345581,0.6952350735664368
1.0,section15_pilot_tuned,selective_copy,gru_uniform_cache,pilot_uniform_checkpoint_cache,256,16,2026,configs/experiments/targeted_associative_recall/assoc_repair_40e_focused.yaml,30331f2fea818fe93bc9a9653e084e7892301cb9716ded5f3cde525532c6d080,outputs/pilot_tuned/checkpoints/selective_copy/gru_uniform_cache/last.pt,True,True,5.249343156814575,0.0,0.0,0.109375,0.06098790322580645,0.0546875,0.109375,127.5,0,0,7,0.0625,0.0625,0.0625,16,True,0.24900434899609536,0.25,0.010000000000000675,894.671875,8224.755946058254,416896,True,5.253392457962036,5.253392457962036,0.46739453077316284
1.0,section15_pilot_tuned,selective_copy,gru_reservoir_cache,pilot_reservoir_cache,256,16,2026,configs/experiments/targeted_associative_recall/assoc_repair_40e_focused.yaml,30331f2fea818fe93bc9a9653e084e7892301cb9716ded5f3cde525532c6d080,outputs/pilot_tuned/checkpoints/selective_copy/gru_reservoir_cache/last.pt,True,True,5.259021997451782,0.0,0.0,0.1875,0.058467741935483875,0.09375,0.1875,162.34375,0,322,6,0.2197265625,0.046875,0.0625,16,True,0.43700137099949643,0.45000000000000284,0.0,894.671875,4686.48415293498,416896,True,5.260977387428284,5.260977387428284,0.45586204528808594
1.0,section15_pilot_tuned,selective_copy,budgetmem_r,src/budgetmem/models/budgetmem_r.py,256,16,2026,configs/experiments/targeted_associative_recall/assoc_repair_40e_focused.yaml,30331f2fea818fe93bc9a9653e084e7892301cb9716ded5f3cde525532c6d080,outputs/pilot_tuned/checkpoints/selective_copy/budgetmem_r/last.pt,True,False,5.395159006118774,0.015625,0.0,0.078125,0.058467741935483875,0.04895833333333333,0.078125,135.92561983471074,0,98,7,0.10693359375,0.075,0.0625,16,True,1.864354960998753,1.9100000000000001,0.02999999999999936,894.671875,1098.5032586835644,577243,True,5.42003858089447,5.42003858089447,344.0473327636719
